ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,SHIPPING_COST,PAYMENT_METHOD,SHIPPING_ADDRESS,BILLING_ADDRESS,CREATED_AT,UPDATED_AT,DATA_SOURCE,BATCH_ID,LOADED_AT
12,2,2024-08-16 00:00:00.000,Delivered,1901.71,5.8,Debit Card,13738 Kelsey Highway Apt. 515,323 Dawson Creek,2024-08-16 00:00:00.000,2024-08-16 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
13,2,2024-07-28 00:00:00.000,Delivered,2458.69,12.61,Debit Card,04948 Bruce Shores,295 Monroe Fork Apt. 493,2024-07-28 00:00:00.000,2024-07-28 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
14,3,2024-11-27 00:00:00.000,Delivered,182.12,9.34,Credit Card,962 Jeffrey Port,704 Bradford Village Suite 884,2024-11-27 00:00:00.000,2024-12-02 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
15,3,2024-10-13 00:00:00.000,Delivered,6419.0,19.88,Debit Card,125 Gonzalez Tunnel Apt. 638,08958 Stephen Light,2024-10-13 00:00:00.000,2024-10-18 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
17,3,2024-11-02 00:00:00.000,Delivered,2609.62,16.39,Debit Card,24951 Moreno Ville,709 Smith Causeway Apt. 820,2024-11-02 00:00:00.000,2024-11-05 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
464,89,2023-05-13 00:00:00.000,Delivered,529.6,14.17,Credit Card,19340 Nguyen Ports,200 Barbara Gateway,2023-05-13 00:00:00.000,2023-05-13 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
18,4,2023-09-27 00:00:00.000,Delivered,1767.26,18.34,Debit Card,9864 Derek Pine,82694 Greer Skyway Apt. 739,2023-09-27 00:00:00.000,2023-09-29 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
19,4,2024-06-04 00:00:00.000,Delivered,2379.59,10.76,PayPal,41520 Christian Orchard Apt. 897,9725 Price Union Apt. 822,2024-06-04 00:00:00.000,2024-06-08 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
20,4,2023-10-04 00:00:00.000,Delivered,2568.52,9.42,Debit Card,6880 Wilson Circles,4121 Chandler Flat Apt. 683,2023-10-04 00:00:00.000,2023-10-08 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
21,4,2024-09-21 00:00:00.000,Delivered,1265.96,19.62,Credit Card,17246 Davis Terrace,00240 April Ranch Apt. 368,2024-09-21 00:00:00.000,2024-09-23 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
22,4,2024-09-15 00:00:00.000,Delivered,1263.8,7.12,Debit Card,6995 Burgess Glen Apt. 961,4955 Velez Circles,2024-09-15 00:00:00.000,2024-09-19 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
23,4,2024-12-05 00:00:00.000,Delivered,2771.96,5.82,Debit Card,253 Benjamin Alley Apt. 421,804 Robinson Key Apt. 120,2024-12-05 00:00:00.000,2024-12-08 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
24,4,2023-10-31 00:00:00.000,Delivered,1493.35,10.97,Debit Card,78569 Stuart Hollow,73141 Quinn Fort Apt. 532,2023-10-31 00:00:00.000,2023-11-03 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
25,4,2023-11-10 00:00:00.000,Delivered,232.99,16.24,Debit Card,173 Nunez Valley Suite 411,87162 Haney Row Suite 490,2023-11-10 00:00:00.000,2023-11-11 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
26,4,2024-05-05 00:00:00.000,Delivered,512.42,14.1,Debit Card,916 Rice Ridge Suite 379,9723 Sean Lake Suite 804,2024-05-05 00:00:00.000,2024-05-10 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
27,5,2024-09-25 00:00:00.000,Delivered,694.76,18.62,Debit Card,9659 Cooper Point,2236 Amy Lakes,2024-09-25 00:00:00.000,2024-09-26 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
29,6,2024-05-09 00:00:00.000,Delivered,5869.69,19.4,Debit Card,26998 Melissa Cove,1040 Patrick Roads Apt. 394,2024-05-09 00:00:00.000,2024-05-12 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
116,30,2024-07-21 00:00:00.000,Delivered,1118.57,7.44,PayPal,331 Michael Divide,9271 Lindsay Inlet Suite 200,2024-07-21 00:00:00.000,2024-07-21 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3,1,2024-03-20 00:00:00.000,Delivered,2156.39,19.16,Credit Card,661 Griffith Alley,083 Newman Keys,2024-03-20 00:00:00.000,2024-03-22 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
28,5,2024-11-21 00:00:00.000,Delivered,705.8,18.46,PayPal,5006 Sweeney Island,3749 Mcintosh Islands,2024-11-21 00:00:00.000,2024-11-21 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
30,6,2024-05-06 00:00:00.000,Delivered,1675.33,5.45,PayPal,67162 Katherine Lock,8003 Sandra Drive,2024-05-06 00:00:00.000,2024-05-10 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
57,14,2024-11-28 00:00:00.000,Delivered,2465.42,15.89,Credit Card,03505 Mccullough Stream Apt. 823,23296 Carter Junctions Suite 165,2024-11-28 00:00:00.000,2024-11-29 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
33,6,2024-08-01 00:00:00.000,Delivered,2453.9,6.47,Credit Card,390 Cooley Centers Apt. 524,5034 Collins Lights Suite 580,2024-08-01 00:00:00.000,2024-08-05 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
34,7,2024-01-25 00:00:00.000,Delivered,1834.31,13.57,Credit Card,52555 Sally Place,5829 Cooper Lake,2024-01-25 00:00:00.000,2024-01-27 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
35,8,2024-03-10 00:00:00.000,Delivered,2593.96,13.12,Debit Card,064 Garcia Dale Apt. 900,0080 Natalie Run,2024-03-10 00:00:00.000,2024-03-12 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
36,8,2024-10-29 00:00:00.000,Delivered,1676.19,18.48,Credit Card,28981 Dennis Corners Apt. 572,238 Katelyn Views Suite 095,2024-10-29 00:00:00.000,2024-10-29 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
37,8,2023-02-02 00:00:00.000,Delivered,2394.98,15.02,Debit Card,349 Fisher Roads Apt. 863,07210 Olivia Court,2023-02-02 00:00:00.000,2023-02-05 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
38,8,2024-02-29 00:00:00.000,Delivered,918.53,5.94,PayPal,3874 Ariana Track,44977 Gregg Trail,2024-02-29 00:00:00.000,2024-03-04 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
39,9,2023-10-09 00:00:00.000,Delivered,5410.54,6.13,Credit Card,1323 Paul Via,62280 Robinson Wells Apt. 730,2023-10-09 00:00:00.000,2023-10-09 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
40,9,2023-05-23 00:00:00.000,Delivered,1775.08,10.63,Debit Card,774 Renee Center,64101 Rhonda Trail,2023-05-23 00:00:00.000,2023-05-25 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
41,9,2023-06-07 00:00:00.000,Delivered,5275.21,9.4,PayPal,138 Jones Forest,165 Casey Hills Apt. 647,2023-06-07 00:00:00.000,2023-06-08 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
42,9,2024-09-01 00:00:00.000,Delivered,5268.1,7.94,Debit Card,04297 Kenneth Orchard,6431 Amanda Forks Apt. 898,2024-09-01 00:00:00.000,2024-09-02 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
43,9,2023-05-07 00:00:00.000,Delivered,45.46,15.95,Debit Card,9674 Alex Loop Suite 617,843 Anderson Plain Apt. 602,2023-05-07 00:00:00.000,2023-05-09 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
44,11,2024-09-01 00:00:00.000,Delivered,2070.15,5.25,Debit Card,42036 Brian Field Suite 225,4133 Todd Flats Suite 597,2024-09-01 00:00:00.000,2024-09-03 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
45,11,2024-10-02 00:00:00.000,Delivered,990.92,7.43,Credit Card,49030 Sarah Garden Apt. 695,94015 Brown View Suite 228,2024-10-02 00:00:00.000,2024-10-07 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
46,12,2024-11-16 00:00:00.000,Delivered,3086.11,16.44,Credit Card,38081 Hoffman Station Apt. 502,0606 Johnson Mill Suite 963,2024-11-16 00:00:00.000,2024-11-20 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
47,12,2024-10-30 00:00:00.000,Delivered,1673.89,10.17,Debit Card,6590 Reynolds Island Apt. 119,77993 Nicole Crest,2024-10-30 00:00:00.000,2024-11-02 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
48,12,2024-12-07 00:00:00.000,Delivered,409.03,14.38,Credit Card,4147 Stone Hollow Apt. 601,42211 Moses Shore Apt. 468,2024-12-07 00:00:00.000,2024-12-11 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
49,13,2024-10-10 00:00:00.000,Delivered,3361.88,6.0,Debit Card,353 Joseph Dale Apt. 088,36922 David Center Suite 190,2024-10-10 00:00:00.000,2024-10-15 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
50,13,2024-08-01 00:00:00.000,Delivered,2717.09,8.94,Credit Card,325 Margaret Circle,02425 Tara Rue Apt. 124,2024-08-01 00:00:00.000,2024-08-01 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
51,13,2023-06-17 00:00:00.000,Delivered,5939.1,19.31,PayPal,34855 Melissa Dam,18695 Jason Divide,2023-06-17 00:00:00.000,2023-06-17 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
52,13,2024-05-25 00:00:00.000,Delivered,2290.34,13.17,Credit Card,617 Molina Motorway Suite 516,08206 Linda Corners Suite 066,2024-05-25 00:00:00.000,2024-05-26 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
53,13,2023-05-17 00:00:00.000,Delivered,905.97,6.18,PayPal,6109 Avery Village,27450 Nicholas Forges Apt. 282,2023-05-17 00:00:00.000,2023-05-17 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
54,14,2024-12-04 00:00:00.000,Delivered,3395.36,16.26,Credit Card,719 William Fall Suite 613,73375 Jefferson Burg Suite 554,2024-12-04 00:00:00.000,2024-12-07 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
55,14,2024-12-12 00:00:00.000,Shipped,2377.4,13.6,Credit Card,29985 Scott Club Apt. 740,465 Hernandez Fords Suite 783,2024-12-12 00:00:00.000,2024-12-15 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
56,14,2024-11-29 00:00:00.000,Delivered,2749.55,18.37,PayPal,0140 Anthony Trace,8725 Woods Ville Suite 294,2024-11-29 00:00:00.000,2024-12-03 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
31,6,2023-10-20 00:00:00.000,Delivered,3344.25,11.51,Debit Card,258 Holmes Loaf Apt. 992,86570 Wong Cliff Apt. 019,2023-10-20 00:00:00.000,2023-10-23 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
58,14,2024-12-09 00:00:00.000,Processing,3035.1,12.65,PayPal,34058 Terrance Cliff,25902 Oliver Vista,2024-12-09 00:00:00.000,2024-12-09 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
60,15,2023-11-02 00:00:00.000,Delivered,6018.42,18.58,Credit Card,2265 Glenn Trafficway Apt. 848,807 Jeremiah Landing Apt. 139,2023-11-02 00:00:00.000,2023-11-03 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
90,24,2023-11-19 00:00:00.000,Delivered,3341.55,15.24,PayPal,4686 Sharon Freeway Suite 736,9692 Nicole Shoal,2023-11-19 00:00:00.000,2023-11-19 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
61,16,2024-03-24 00:00:00.000,Delivered,529.2,5.21,Credit Card,27058 Brian Well,313 Smith Village Suite 951,2024-03-24 00:00:00.000,2024-03-27 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
63,16,2024-05-12 00:00:00.000,Delivered,6045.83,13.59,Debit Card,4853 Blake Island,2010 Tran Bridge,2024-05-12 00:00:00.000,2024-05-16 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
64,16,2024-09-26 00:00:00.000,Delivered,2574.36,8.51,Credit Card,78986 Anderson View,85673 Willie Via,2024-09-26 00:00:00.000,2024-09-26 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
65,16,2024-11-04 00:00:00.000,Delivered,4911.88,7.66,Credit Card,447 Hughes Points,05354 Lacey Wall,2024-11-04 00:00:00.000,2024-11-06 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
66,18,2024-05-21 00:00:00.000,Delivered,3420.27,13.59,PayPal,28209 Flores Drives,7273 Anderson Course,2024-05-21 00:00:00.000,2024-05-26 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
67,18,2024-11-21 00:00:00.000,Delivered,2320.38,13.17,Debit Card,744 Samuel Bridge,9475 Fernando Knoll Apt. 399,2024-11-21 00:00:00.000,2024-11-21 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
68,19,2024-07-24 00:00:00.000,Delivered,2074.93,12.17,PayPal,88162 Higgins Well Suite 906,2611 Wyatt Course,2024-07-24 00:00:00.000,2024-07-25 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
69,19,2024-06-04 00:00:00.000,Delivered,940.09,12.77,PayPal,19816 Rachael Wall,4343 Crystal Turnpike Suite 176,2024-06-04 00:00:00.000,2024-06-04 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
70,20,2024-10-12 00:00:00.000,Delivered,1485.43,13.11,Credit Card,672 Eduardo Fort Suite 180,955 Melissa Stravenue,2024-10-12 00:00:00.000,2024-10-13 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
71,20,2024-09-03 00:00:00.000,Delivered,3517.04,14.44,Credit Card,870 Brianna Flats,5639 Melissa Forest,2024-09-03 00:00:00.000,2024-09-03 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
72,20,2024-10-16 00:00:00.000,Delivered,3531.35,15.18,Debit Card,4736 Taylor Burgs Apt. 100,488 Mcgee Station,2024-10-16 00:00:00.000,2024-10-19 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
73,21,2024-11-16 00:00:00.000,Delivered,457.15,6.57,PayPal,910 Freeman Loop Suite 941,77593 Jerry Curve,2024-11-16 00:00:00.000,2024-11-20 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
74,21,2023-10-10 00:00:00.000,Delivered,2928.8,15.99,Debit Card,04284 Cannon Island Suite 812,0715 Green Square Apt. 073,2023-10-10 00:00:00.000,2023-10-11 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
75,21,2024-01-09 00:00:00.000,Delivered,3360.89,13.52,Debit Card,297 Robin Shoal Apt. 434,7982 Porter Greens Apt. 487,2024-01-09 00:00:00.000,2024-01-13 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
76,22,2024-12-14 00:00:00.000,Shipped,7725.3,9.03,Debit Card,656 Gutierrez Ford Suite 702,21317 Larsen Falls Suite 656,2024-12-14 00:00:00.000,2024-12-14 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
77,22,2024-09-09 00:00:00.000,Delivered,2638.14,6.9,Debit Card,67398 Kelly Burgs Apt. 649,5787 Jackson Station Apt. 009,2024-09-09 00:00:00.000,2024-09-14 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
78,22,2024-09-27 00:00:00.000,Delivered,134.36,14.93,PayPal,07146 Norris Spur Suite 641,0037 Sharon Viaduct Suite 472,2024-09-27 00:00:00.000,2024-10-02 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
79,22,2024-10-03 00:00:00.000,Delivered,3811.39,12.61,Credit Card,48236 Brian Street,6857 Jones Coves,2024-10-03 00:00:00.000,2024-10-05 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
80,22,2024-10-25 00:00:00.000,Delivered,2211.14,17.69,Debit Card,5282 Barnett Fort,5978 Derrick Stream,2024-10-25 00:00:00.000,2024-10-30 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
81,23,2024-02-03 00:00:00.000,Delivered,463.95,14.71,PayPal,974 Robin Field Suite 499,5045 Heather Locks Apt. 096,2024-02-03 00:00:00.000,2024-02-06 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
82,23,2024-11-16 00:00:00.000,Delivered,2079.99,13.19,Debit Card,884 Jacob Divide,050 Wendy Plain Suite 153,2024-11-16 00:00:00.000,2024-11-19 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
83,23,2024-02-16 00:00:00.000,Delivered,3376.58,10.35,PayPal,729 Adams Hollow Suite 945,91730 Ballard Motorway,2024-02-16 00:00:00.000,2024-02-19 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
84,23,2024-09-01 00:00:00.000,Delivered,6528.68,7.94,PayPal,65929 Jennifer Junctions Apt. 074,3410 Michelle Alley Suite 714,2024-09-01 00:00:00.000,2024-09-01 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
85,23,2024-11-10 00:00:00.000,Delivered,5425.22,5.95,Debit Card,687 David Shoals,96777 Alyssa Via,2024-11-10 00:00:00.000,2024-11-14 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
87,24,2024-10-11 00:00:00.000,Delivered,407.56,12.46,Credit Card,121 Hinton Path,15093 Hernandez Estate Suite 714,2024-10-11 00:00:00.000,2024-10-13 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
232,48,2024-11-16 00:00:00.000,Delivered,796.51,12.55,PayPal,0519 Megan Alley Apt. 194,1827 Hancock Stravenue,2024-11-16 00:00:00.000,2024-11-21 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
62,16,2024-12-12 00:00:00.000,Shipped,2839.41,17.41,Debit Card,8381 Fowler Plains Apt. 722,23075 Garcia Valley,2024-12-12 00:00:00.000,2024-12-15 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
86,24,2024-09-28 00:00:00.000,Delivered,967.5,10.77,Debit Card,948 Brandy Mission,8441 Cochran Ford,2024-09-28 00:00:00.000,2024-10-01 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
91,24,2024-05-16 00:00:00.000,Delivered,2005.31,16.33,Debit Card,1674 Brittany Mall,81982 George Light Apt. 353,2024-05-16 00:00:00.000,2024-05-18 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
88,24,2024-10-22 00:00:00.000,Delivered,1313.69,13.65,Debit Card,5147 Jackson Ports,67631 James Ports Suite 126,2024-10-22 00:00:00.000,2024-10-22 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
92,24,2024-08-22 00:00:00.000,Delivered,1279.48,13.54,Credit Card,82306 Jesse Glens Apt. 397,2930 Joshua Ways,2024-08-22 00:00:00.000,2024-08-23 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
93,24,2024-02-23 00:00:00.000,Delivered,2731.07,18.5,PayPal,888 Antonio Viaduct,754 Hernandez Mill Apt. 109,2024-02-23 00:00:00.000,2024-02-25 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
94,25,2024-07-14 00:00:00.000,Delivered,4072.84,19.01,PayPal,0391 Alexander Ville Apt. 225,858 Nelson Crossing Apt. 357,2024-07-14 00:00:00.000,2024-07-15 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
95,25,2024-07-03 00:00:00.000,Delivered,3991.91,10.3,Credit Card,200 Amanda Glen Apt. 614,13709 Tonya Burg,2024-07-03 00:00:00.000,2024-07-08 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
96,26,2023-06-24 00:00:00.000,Delivered,3643.27,15.25,Debit Card,87135 Bryan Locks Apt. 151,061 John Parkways,2023-06-24 00:00:00.000,2023-06-28 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
97,26,2023-05-24 00:00:00.000,Delivered,1623.08,10.1,Credit Card,8589 Bradley Parkways Suite 696,5624 Dorsey Fields,2023-05-24 00:00:00.000,2023-05-29 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
