order_id,customer_id,order_date,status,total_amount,shipping_cost,payment_method,shipping_address,billing_address,created_at,updated_at
31,6,2023-10-20,Delivered,3344.25,11.51,Debit Card,258 Holmes Loaf Apt. 992,86570 Wong Cliff Apt. 019,2023-10-20,2023-10-23
32,6,2024-05-09,Delivered,979.69,11.1,Debit Card,469 Joseph Square Apt. 891,1086 Sonia Divide,2024-05-09,2024-05-12
33,6,2024-08-01,Delivered,2453.9,6.47,Credit Card,390 Cooley Centers Apt. 524,5034 Collins Lights Suite 580,2024-08-01,2024-08-05
34,7,2024-01-25,Delivered,1834.31,13.57,Credit Card,52555 Sally Place,5829 Cooper Lake,2024-01-25,2024-01-27
35,8,2024-03-10,Delivered,2593.96,13.12,Debit Card,064 Garcia Dale Apt. 900,0080 Natalie Run,2024-03-10,2024-03-12
36,8,2024-10-29,Delivered,1676.19,18.48,Credit Card,28981 Dennis Corners Apt. 572,238 Katelyn Views Suite 095,2024-10-29,2024-10-29
37,8,2023-02-02,Delivered,2394.98,15.02,Debit Card,349 Fisher Roads Apt. 863,07210 Olivia Court,2023-02-02,2023-02-05
38,8,2024-02-29,Delivered,918.53,5.94,PayPal,3874 Ariana Track,44977 Gregg Trail,2024-02-29,2024-03-04
39,9,2023-10-09,Delivered,5410.54,6.13,Credit Card,1323 Paul Via,62280 Robinson Wells Apt. 730,2023-10-09,2023-10-09
40,9,2023-05-23,Delivered,1775.08,10.63,Debit Card,774 Renee Center,64101 Rhonda Trail,2023-05-23,2023-05-25
41,9,2023-06-07,Delivered,5275.21,9.4,PayPal,138 Jones Forest,165 Casey Hills Apt. 647,2023-06-07,2023-06-08
42,9,2024-09-01,Delivered,5268.1,7.94,Debit Card,04297 Kenneth Orchard,6431 Amanda Forks Apt. 898,2024-09-01,2024-09-02
43,9,2023-05-07,Delivered,45.46,15.95,Debit Card,9674 Alex Loop Suite 617,843 Anderson Plain Apt. 602,2023-05-07,2023-05-09
44,11,2024-09-01,Delivered,2070.15,5.25,Debit Card,42036 Brian Field Suite 225,4133 Todd Flats Suite 597,2024-09-01,2024-09-03
45,11,2024-10-02,Delivered,990.92,7.43,Credit Card,49030 Sarah Garden Apt. 695,94015 Brown View Suite 228,2024-10-02,2024-10-07
46,12,2024-11-16,Delivered,3086.11,16.44,Credit Card,38081 Hoffman Station Apt. 502,0606 Johnson Mill Suite 963,2024-11-16,2024-11-20
47,12,2024-10-30,Delivered,1673.89,10.17,Debit Card,6590 Reynolds Island Apt. 119,77993 Nicole Crest,2024-10-30,2024-11-02
48,12,2024-12-07,Delivered,409.03,14.38,Credit Card,4147 Stone Hollow Apt. 601,42211 Moses Shore Apt. 468,2024-12-07,2024-12-11
49,13,2024-10-10,Delivered,3361.88,6.0,Debit Card,353 Joseph Dale Apt. 088,36922 David Center Suite 190,2024-10-10,2024-10-15
50,13,2024-08-01,Delivered,2717.09,8.94,Credit Card,325 Margaret Circle,02425 Tara Rue Apt. 124,2024-08-01,2024-08-01
51,13,2023-06-17,Delivered,5939.1,19.31,PayPal,34855 Melissa Dam,18695 Jason Divide,2023-06-17,2023-06-17
52,13,2024-05-25,Delivered,2290.34,13.17,Credit Card,617 Molina Motorway Suite 516,08206 Linda Corners Suite 066,2024-05-25,2024-05-26
53,13,2023-05-17,Delivered,905.97,6.18,PayPal,6109 Avery Village,27450 Nicholas Forges Apt. 282,2023-05-17,2023-05-17
54,14,2024-12-04,Delivered,3395.36,16.26,Credit Card,719 William Fall Suite 613,73375 Jefferson Burg Suite 554,2024-12-04,2024-12-07
55,14,2024-12-12,Shipped,2377.4,13.6,Credit Card,29985 Scott Club Apt. 740,465 Hernandez Fords Suite 783,2024-12-12,2024-12-15
56,14,2024-11-29,Delivered,2749.55,18.37,PayPal,0140 Anthony Trace,8725 Woods Ville Suite 294,2024-11-29,2024-12-03
57,14,2024-11-28,Delivered,2465.42,15.89,Credit Card,03505 Mccullough Stream Apt. 823,23296 Carter Junctions Suite 165,2024-11-28,2024-11-29
58,14,2024-12-09,Processing,3035.1,12.65,PayPal,34058 Terrance Cliff,25902 Oliver Vista,2024-12-09,2024-12-09
59,14,2024-12-04,Delivered,3009.74,11.78,Debit Card,98078 Reyes Park Apt. 118,663 Harper Square,2024-12-04,2024-12-04
60,15,2023-11-02,Delivered,6018.42,18.58,Credit Card,2265 Glenn Trafficway Apt. 848,807 Jeremiah Landing Apt. 139,2023-11-02,2023-11-03
61,16,2024-03-24,Delivered,529.2,5.21,Credit Card,27058 Brian Well,313 Smith Village Suite 951,2024-03-24,2024-03-27
62,16,2024-12-12,Shipped,2839.41,17.41,Debit Card,8381 Fowler Plains Apt. 722,23075 Garcia Valley,2024-12-12,2024-12-15
63,16,2024-05-12,Delivered,6045.83,13.59,Debit Card,4853 Blake Island,2010 Tran Bridge,2024-05-12,2024-05-16
64,16,2024-09-26,Delivered,2574.36,8.51,Credit Card,78986 Anderson View,85673 Willie Via,2024-09-26,2024-09-26
65,16,2024-11-04,Delivered,4911.88,7.66,Credit Card,447 Hughes Points,05354 Lacey Wall,2024-11-04,2024-11-06
66,18,2024-05-21,Delivered,3420.27,13.59,PayPal,28209 Flores Drives,7273 Anderson Course,2024-05-21,2024-05-26
67,18,2024-11-21,Delivered,2320.38,13.17,Debit Card,744 Samuel Bridge,9475 Fernando Knoll Apt. 399,2024-11-21,2024-11-21
68,19,2024-07-24,Delivered,2074.93,12.17,PayPal,88162 Higgins Well Suite 906,2611 Wyatt Course,2024-07-24,2024-07-25
69,19,2024-06-04,Delivered,940.09,12.77,PayPal,19816 Rachael Wall,4343 Crystal Turnpike Suite 176,2024-06-04,2024-06-04
70,20,2024-10-12,Delivered,1485.43,13.11,Credit Card,672 Eduardo Fort Suite 180,955 Melissa Stravenue,2024-10-12,2024-10-13
71,20,2024-09-03,Delivered,3517.04,14.44,Credit Card,870 Brianna Flats,5639 Melissa Forest,2024-09-03,2024-09-03
72,20,2024-10-16,Delivered,3531.35,15.18,Debit Card,4736 Taylor Burgs Apt. 100,488 Mcgee Station,2024-10-16,2024-10-19
73,21,2024-11-16,Delivered,457.15,6.57,PayPal,910 Freeman Loop Suite 941,77593 Jerry Curve,2024-11-16,2024-11-20
74,21,2023-10-10,Delivered,2928.8,15.99,Debit Card,04284 Cannon Island Suite 812,0715 Green Square Apt. 073,2023-10-10,2023-10-11
75,21,2024-01-09,Delivered,3360.89,13.52,Debit Card,297 Robin Shoal Apt. 434,7982 Porter Greens Apt. 487,2024-01-09,2024-01-13
76,22,2024-12-14,Shipped,7725.3,9.03,Debit Card,656 Gutierrez Ford Suite 702,21317 Larsen Falls Suite 656,2024-12-14,2024-12-14
77,22,2024-09-09,Delivered,2638.14,6.9,Debit Card,67398 Kelly Burgs Apt. 649,5787 Jackson Station Apt. 009,2024-09-09,2024-09-14
78,22,2024-09-27,Delivered,134.36,14.93,PayPal,07146 Norris Spur Suite 641,0037 Sharon Viaduct Suite 472,2024-09-27,2024-10-02
79,22,2024-10-03,Delivered,3811.39,12.61,Credit Card,48236 Brian Street,6857 Jones Coves,2024-10-03,2024-10-05
80,22,2024-10-25,Delivered,2211.14,17.69,Debit Card,5282 Barnett Fort,5978 Derrick Stream,2024-10-25,2024-10-30
81,23,2024-02-03,Delivered,463.95,14.71,PayPal,974 Robin Field Suite 499,5045 Heather Locks Apt. 096,2024-02-03,2024-02-06
82,23,2024-11-16,Delivered,2079.99,13.19,Debit Card,884 Jacob Divide,050 Wendy Plain Suite 153,2024-11-16,2024-11-19
83,23,2024-02-16,Delivered,3376.58,10.35,PayPal,729 Adams Hollow Suite 945,91730 Ballard Motorway,2024-02-16,2024-02-19
84,23,2024-09-01,Delivered,6528.68,7.94,PayPal,65929 Jennifer Junctions Apt. 074,3410 Michelle Alley Suite 714,2024-09-01,2024-09-01
85,23,2024-11-10,Delivered,5425.22,5.95,Debit Card,687 David Shoals,96777 Alyssa Via,2024-11-10,2024-11-14
86,24,2024-09-28,Delivered,967.5,10.77,Debit Card,948 Brandy Mission,8441 Cochran Ford,2024-09-28,2024-10-01
87,24,2024-10-11,Delivered,407.56,12.46,Credit Card,121 Hinton Path,15093 Hernandez Estate Suite 714,2024-10-11,2024-10-13
88,24,2024-10-22,Delivered,1313.69,13.65,Debit Card,5147 Jackson Ports,67631 James Ports Suite 126,2024-10-22,2024-10-22
89,24,2024-11-07,Delivered,2188.84,9.77,PayPal,14373 James Ports,18129 Megan Cape,2024-11-07,2024-11-12
90,24,2023-11-19,Delivered,3341.55,15.24,PayPal,4686 Sharon Freeway Suite 736,9692 Nicole Shoal,2023-11-19,2023-11-19
91,24,2024-05-16,Delivered,2005.31,16.33,Debit Card,1674 Brittany Mall,81982 George Light Apt. 353,2024-05-16,2024-05-18
92,24,2024-08-22,Delivered,1279.48,13.54,Credit Card,82306 Jesse Glens Apt. 397,2930 Joshua Ways,2024-08-22,2024-08-23
93,24,2024-02-23,Delivered,2731.07,18.5,PayPal,888 Antonio Viaduct,754 Hernandez Mill Apt. 109,2024-02-23,2024-02-25
94,25,2024-07-14,Delivered,4072.84,19.01,PayPal,0391 Alexander Ville Apt. 225,858 Nelson Crossing Apt. 357,2024-07-14,2024-07-15
95,25,2024-07-03,Delivered,3991.91,10.3,Credit Card,200 Amanda Glen Apt. 614,13709 Tonya Burg,2024-07-03,2024-07-08
96,26,2023-06-24,Delivered,3643.27,15.25,Debit Card,87135 Bryan Locks Apt. 151,061 John Parkways,2023-06-24,2023-06-28
97,26,2023-05-24,Delivered,1623.08,10.1,Credit Card,8589 Bradley Parkways Suite 696,5624 Dorsey Fields,2023-05-24,2023-05-29
98,26,2024-01-09,Delivered,1190.8,7.8,Debit Card,354 Myers Terrace,62162 Powell Square Apt. 729,2024-01-09,2024-01-12
99,26,2023-08-09,Delivered,1236.49,18.71,PayPal,398 Adam Point,92642 Marissa Station Apt. 615,2023-08-09,2023-08-10
100,27,2024-11-15,Delivered,2846.05,7.58,PayPal,720 Wright Rapids,942 David Corners,2024-11-15,2024-11-19
101,27,2024-04-18,Delivered,1021.8,6.53,Debit Card,33808 Ashley Port Suite 424,630 Tony Neck Suite 231,2024-04-18,2024-04-23
102,28,2024-07-18,Delivered,3572.87,10.54,Debit Card,3364 Randall River Apt. 716,64244 Garcia Gardens,2024-07-18,2024-07-20
103,28,2024-07-13,Delivered,994.84,19.24,Credit Card,8218 Padilla Row Suite 737,536 Jones Walk,2024-07-13,2024-07-17
104,28,2024-05-07,Delivered,2934.35,16.34,Credit Card,9942 Caroline Ports,894 Wells Port Apt. 575,2024-05-07,2024-05-09
105,28,2023-10-14,Delivered,2735.18,18.17,Credit Card,8107 Cathy Summit,57914 Laurie Walk,2023-10-14,2023-10-17
106,28,2024-10-21,Delivered,2981.56,7.47,PayPal,24344 Richards Mews,28705 Monica Port Apt. 438,2024-10-21,2024-10-25
107,28,2024-02-10,Delivered,430.53,9.04,Credit Card,15588 Brown Oval Apt. 068,865 Christopher Parkway,2024-02-10,2024-02-12
108,28,2024-01-15,Delivered,151.43,10.92,PayPal,7073 Jackson Mews,6350 Lori Mount,2024-01-15,2024-01-17
109,28,2024-09-20,Delivered,1242.39,6.61,Credit Card,1809 Deborah Road Suite 720,982 Brenda Trafficway Suite 529,2024-09-20,2024-09-20
110,29,2024-07-05,Delivered,1552.87,15.93,PayPal,5727 Hall Ports Suite 523,246 Jones Ranch Suite 305,2024-07-05,2024-07-08
111,30,2024-11-24,Delivered,2696.86,6.46,Credit Card,0901 Parks Well,00829 Dylan Vista Apt. 370,2024-11-24,2024-11-24
112,30,2024-03-04,Delivered,2757.05,19.29,Credit Card,91385 Christopher Fort Suite 914,0644 Tammy Junctions,2024-03-04,2024-03-04
113,30,2024-06-02,Delivered,3235.81,7.66,Debit Card,0048 Tara Vista,012 Wright Meadows,2024-06-02,2024-06-02
114,30,2024-11-23,Delivered,1536.63,12.09,Credit Card,0839 Abbott Spurs Suite 974,799 Anderson Knoll Suite 402,2024-11-23,2024-11-26
115,30,2023-06-12,Delivered,3432.71,9.08,Debit Card,242 Tran Corners,305 George Vista Apt. 335,2023-06-12,2023-06-14
116,30,2024-07-21,Delivered,1118.57,7.44,PayPal,331 Michael Divide,9271 Lindsay Inlet Suite 200,2024-07-21,2024-07-21
117,30,2024-05-03,Delivered,2552.83,17.96,PayPal,341 Williams Isle Suite 370,8746 Schneider Dale Apt. 842,2024-05-03,2024-05-05
118,30,2024-04-06,Delivered,1468.79,17.94,PayPal,4747 Mcconnell Locks,57990 Stacey Mountains Apt. 775,2024-04-06,2024-04-10
119,31,2024-03-10,Delivered,2862.42,19.75,Debit Card,932 Natasha Squares Apt. 468,56910 Rose Islands,2024-03-10,2024-03-15
120,31,2024-03-12,Delivered,4702.11,15.99,PayPal,8751 Krause Curve,7976 Bryan Meadows Suite 675,2024-03-12,2024-03-13
121,32,2024-06-27,Delivered,1961.49,6.93,PayPal,732 Elizabeth Cove Apt. 166,4590 Shelton Skyway,2024-06-27,2024-06-29
122,32,2023-10-27,Delivered,279.21,7.04,Credit Card,2507 White View Apt. 316,1103 Nunez Ports,2023-10-27,2023-10-27
123,32,2024-01-01,Delivered,4115.18,17.02,Debit Card,065 Davidson Fort,09031 Morales Meadow Apt. 514,2024-01-01,2024-01-02
124,33,2024-05-04,Delivered,1373.77,19.38,PayPal,21638 Bailey Summit Apt. 960,459 Rachel Plain Suite 901,2024-05-04,2024-05-06
125,33,2024-05-03,Delivered,3556.03,8.13,Credit Card,1494 Leon Junction Apt. 853,06738 Spencer Radial,2024-05-03,2024-05-07
126,33,2024-06-07,Delivered,1192.64,14.5,Debit Card,0022 Ortiz Mountain,5061 Lawrence Knoll,2024-06-07,2024-06-12
127,33,2024-06-01,Delivered,1905.65,15.23,PayPal,816 Cabrera Mall Suite 354,9327 Elizabeth Unions,2024-06-01,2024-06-05
128,33,2024-08-28,Delivered,6382.3,14.25,PayPal,00095 Robert Skyway Suite 012,2404 Watkins Springs,2024-08-28,2024-08-29
129,33,2024-08-21,Delivered,4415.55,19.45,PayPal,2066 Williams Trail Apt. 572,047 Jennifer Drive Apt. 392,2024-08-21,2024-08-26
130,33,2024-11-03,Delivered,1339.4,11.62,Debit Card,7296 Thomas Parkways,03781 Robert Mills,2024-11-03,2024-11-06
131,33,2024-05-24,Delivered,1199.21,16.2,Debit Card,6986 Garcia Fields,107 Baker Route,2024-05-24,2024-05-29
132,33,2024-10-13,Delivered,612.64,7.52,PayPal,857 Hall Lodge Apt. 627,8423 Baker Estates,2024-10-13,2024-10-14
133,33,2024-12-15,Pending,4068.53,12.89,Credit Card,45264 Reed Turnpike,998 Logan Junction Apt. 275,2024-12-15,2024-12-20
134,33,2024-05-20,Delivered,569.88,7.86,Credit Card,93702 Richards Summit,84345 Stewart Stream,2024-05-20,2024-05-21
135,33,2024-09-18,Delivered,6162.06,7.15,Credit Card,22166 Joe Street,42479 Montgomery Creek Suite 654,2024-09-18,2024-09-18
136,33,2024-07-21,Delivered,4313.61,16.07,Credit Card,843 Savannah Fields Suite 376,485 Stephen Walk Apt. 936,2024-07-21,2024-07-22
137,33,2024-10-16,Delivered,1299.38,13.29,Debit Card,27826 Brown Causeway,065 Tyler Haven Apt. 291,2024-10-16,2024-10-17
138,33,2024-10-29,Delivered,8687.75,12.07,PayPal,4475 Stephens Manors Apt. 355,70237 Sandoval Station,2024-10-29,2024-11-01
139,33,2024-07-07,Delivered,3741.44,8.91,Debit Card,34658 Chris Vista,0131 Harris Drive Suite 491,2024-07-07,2024-07-09
140,33,2024-08-17,Delivered,1636.03,7.03,Credit Card,186 Samantha Roads Apt. 136,686 Miller Cove Apt. 185,2024-08-17,2024-08-19
141,34,2024-09-10,Delivered,7356.73,14.28,PayPal,5202 Wilson Row Apt. 506,95304 Sarah Row,2024-09-10,2024-09-15
142,34,2024-10-05,Delivered,1144.03,15.94,Debit Card,59881 Norris Points Suite 503,229 Williams Turnpike Suite 532,2024-10-05,2024-10-06
143,34,2024-11-25,Delivered,2023.74,19.41,Credit Card,25760 Lee Lodge,904 Katherine Fords,2024-11-25,2024-11-28
144,34,2024-09-29,Delivered,8829.56,7.97,Credit Card,254 Lopez Spring,4603 John Bridge,2024-09-29,2024-09-29
145,34,2024-10-27,Delivered,6491.66,7.73,PayPal,04156 Lewis Ridges,8606 Mary Corners Apt. 449,2024-10-27,2024-10-28
146,34,2024-08-30,Delivered,4062.5,15.99,Debit Card,24725 Gilbert Manor,056 Mcdonald Street Apt. 480,2024-08-30,2024-09-01
147,34,2024-10-04,Delivered,6018.89,13.3,Debit Card,47822 Amber Streets,6458 Vanessa Valleys,2024-10-04,2024-10-08
148,34,2024-09-26,Delivered,3304.81,9.8,Debit Card,92862 Samantha Creek,50104 Tracey Path,2024-09-26,2024-10-01
149,34,2024-12-01,Delivered,181.92,16.06,Credit Card,66322 Todd Park,032 Michelle Valleys,2024-12-01,2024-12-02
150,35,2024-12-09,Processing,2777.46,8.71,PayPal,552 Terry Islands,951 Morris Streets Apt. 381,2024-12-09,2024-12-11
151,35,2024-12-05,Delivered,4377.73,13.66,Debit Card,8572 Carter Highway Apt. 567,0901 Carpenter Rest,2024-12-05,2024-12-05
152,35,2024-12-02,Delivered,6274.71,18.4,Credit Card,81756 Clayton Orchard,3741 Colleen Parkway,2024-12-02,2024-12-06
153,36,2024-04-16,Delivered,3259.13,11.6,Debit Card,03809 Fernandez Way Suite 972,6215 Nathan Motorway Apt. 615,2024-04-16,2024-04-19
154,36,2024-10-13,Delivered,2125.45,18.66,Credit Card,562 Jason Forks,59848 Linda Street Apt. 922,2024-10-13,2024-10-16
155,36,2024-07-03,Delivered,4235.42,7.07,Credit Card,19377 Shannon Place,2021 Tina Plaza Suite 131,2024-07-03,2024-07-03
156,36,2024-03-08,Delivered,745.42,7.02,Debit Card,4990 Robert Spring,101 Davis Shoals Apt. 288,2024-03-08,2024-03-08
157,36,2024-10-24,Delivered,5756.84,7.83,PayPal,3523 Foster Rapids Suite 650,7108 Acosta Station,2024-10-24,2024-10-28
158,36,2024-10-01,Delivered,1611.89,12.59,PayPal,0677 Paul Underpass Suite 542,346 Joann Course Apt. 433,2024-10-01,2024-10-06
159,36,2024-05-04,Delivered,1542.76,15.4,Debit Card,7072 Williams Points,3785 James Via,2024-05-04,2024-05-06
160,36,2024-10-07,Delivered,201.29,10.36,Debit Card,14594 Joseph Vista,16440 Ross Fall,2024-10-07,2024-10-11
161,36,2024-08-06,Delivered,662.16,18.86,Credit Card,043 Phillips Parks,9594 Jamie Creek Suite 472,2024-08-06,2024-08-06
162,36,2024-06-08,Delivered,192.05,19.67,PayPal,83483 April Rapids Apt. 799,396 Michelle Corners,2024-06-08,2024-06-13
163,36,2024-02-28,Delivered,3170.25,17.22,PayPal,54814 Payne Ridges,48550 Samantha Crest,2024-02-28,2024-02-28
164,36,2024-07-13,Delivered,5768.45,17.53,Credit Card,36945 Kara Track,3577 Colon Stravenue,2024-07-13,2024-07-13
165,37,2024-12-09,Pending,160.86,14.64,Debit Card,41259 Martin Squares Apt. 652,448 Fernandez Hollow,2024-12-09,2024-12-13
166,37,2024-12-07,Delivered,1087.89,10.22,PayPal,972 Wesley Hollow,132 Dawn Pines Suite 715,2024-12-07,2024-12-09
167,37,2024-12-01,Delivered,1312.74,18.02,Credit Card,05353 Dana Prairie Suite 354,7929 Lori Loop Apt. 495,2024-12-01,2024-12-05
168,37,2024-12-12,Pending,659.14,18.67,PayPal,75133 Kara Shore,36939 Kristie Bridge Apt. 310,2024-12-12,2024-12-15
169,37,2024-10-26,Delivered,2355.21,8.16,PayPal,107 Wilson Course,9401 Jones Keys,2024-10-26,2024-10-26
170,37,2024-11-28,Delivered,2544.44,19.51,Credit Card,687 Evans Ramp,322 Torres Ridges,2024-11-28,2024-12-03
171,37,2024-10-30,Delivered,351.93,6.73,Debit Card,076 Tiffany Inlet,23566 Ford Club Suite 836,2024-10-30,2024-11-04
172,37,2024-11-19,Delivered,967.08,11.15,Credit Card,1734 Peterson Crest,1939 Pamela River,2024-11-19,2024-11-19
173,38,2023-09-11,Delivered,2827.62,6.74,Credit Card,886 Hale Ford,3649 Jonathan Estates Apt. 047,2023-09-11,2023-09-12
174,38,2023-07-24,Delivered,4383.58,6.81,Credit Card,736 Barajas Stream Suite 043,56870 Frank Street,2023-07-24,2023-07-29
175,38,2024-05-28,Delivered,1231.25,14.93,Credit Card,695 Chavez Forks,6340 Foster Vista Apt. 770,2024-05-28,2024-05-29
176,38,2024-01-17,Delivered,4356.99,5.56,PayPal,209 Duane Mill,15274 Deborah Rapid Apt. 184,2024-01-17,2024-01-19
177,38,2024-01-11,Delivered,1754.89,13.04,PayPal,7165 Green Ridge Suite 717,446 Charlene Causeway Suite 149,2024-01-11,2024-01-16
178,38,2024-04-15,Delivered,2907.52,16.65,Credit Card,34980 Laura Rest Apt. 576,671 Roberts Ways Suite 562,2024-04-15,2024-04-15
179,38,2024-03-29,Delivered,4549.85,5.34,Credit Card,079 Molly Manor,3643 Rivera Village,2024-03-29,2024-03-31
180,39,2023-12-28,Delivered,1861.6,13.65,Credit Card,520 Lee Street,362 Francis Course Suite 822,2023-12-28,2024-01-01
181,39,2024-05-18,Delivered,5350.23,10.63,Debit Card,83391 Myers Summit Suite 296,0155 Montgomery Lake Apt. 214,2024-05-18,2024-05-21
182,39,2024-01-26,Delivered,3169.92,17.16,Credit Card,2162 Harris Road Suite 466,783 Tabitha Parks,2024-01-26,2024-01-27
183,39,2024-11-29,Delivered,2233.2,13.53,Debit Card,707 Walsh Road,374 James Pike Apt. 401,2024-11-29,2024-12-03
184,39,2024-09-03,Delivered,1449.16,17.35,PayPal,2657 Ruiz Spurs,347 Lee Ranch,2024-09-03,2024-09-03
185,40,2023-09-13,Delivered,3412.96,9.13,Debit Card,442 Meyer Gardens,1479 Ramirez Circles,2023-09-13,2023-09-15
186,40,2024-05-21,Delivered,1298.58,9.6,Credit Card,080 Charles Isle Suite 648,32668 William Parks Suite 044,2024-05-21,2024-05-23
187,41,2024-09-19,Delivered,1399.05,18.32,Credit Card,4364 Christine Hills,2585 Brown Dale Suite 096,2024-09-19,2024-09-22
188,41,2024-09-16,Delivered,4650.74,11.34,Credit Card,10928 Sharp Stravenue Apt. 159,6380 Martinez Manors Apt. 663,2024-09-16,2024-09-20
189,41,2024-11-12,Delivered,61.53,9.17,Debit Card,72576 Harris Forks Apt. 286,16682 Jill Well Suite 826,2024-11-12,2024-11-16
190,41,2024-09-17,Delivered,4726.69,11.65,Debit Card,55338 Wolf Parks,8434 Charles Forges,2024-09-17,2024-09-17
191,41,2024-11-01,Delivered,1017.95,8.42,Debit Card,73806 Willie Grove,844 Reid Alley,2024-11-01,2024-11-06
192,41,2024-09-23,Delivered,5747.41,10.14,Credit Card,2621 Lisa Flats Apt. 545,03466 Quinn Hollow,2024-09-23,2024-09-24
193,41,2024-12-08,Delivered,1775.01,15.65,Credit Card,36698 Case Landing,59588 Nancy Estate,2024-12-08,2024-12-08
194,42,2023-06-26,Delivered,7687.27,14.24,PayPal,3997 Obrien Garden Suite 202,823 Davenport Unions,2023-06-26,2023-06-28
195,42,2023-08-14,Delivered,6785.41,10.56,PayPal,79148 Flynn Lane Suite 473,2594 Tammy Spring Apt. 393,2023-08-14,2023-08-17
196,42,2023-12-02,Delivered,1822.75,19.19,Credit Card,79843 Smith Alley,92945 Ariana Causeway Apt. 899,2023-12-02,2023-12-03
